r,t
16,8
32,8
48,8
64,8
80,8
96,8
112,8
128,8
144,8
160,8
176,8
192,8
208,8
224,8
240,8
256,8
272,8
288,8
304,8
320,8
336,8
352,8
368,8
384,8
400,8
416,8
432,8
448,8
464,8
480,8
496,8
512,8
528,8
544,8
560,8
576,8
592,8
608,8
624,8
640,8
656,8
672,8
688,8
704,8
720,8
736,8
752,8
768,8
784,8
800,8
816,8
832,8
848,8
864,8
880,8
896,8
912,8
928,8
944,8
960,8
976,8
992,8
1008,8
1024,8
1040,8
1056,8
1072,8
1088,8
1104,8
1120,8
1136,8
1152,8
1168,8
1184,8
1200,8
1216,8
1232,8
1248,8
1264,8
1280,8
1296,8
1312,8
1328,8
1344,8
1360,8
1376,8
1392,8
1408,8
1424,8
1440,8
1456,8
1472,8
1488,8
1504,8
1520,8
1536,8
1552,8
1568,8
1584,8
1600,8
1616,8
1632,8
1648,8
1664,8
1680,8
1696,8
1712,8
1728,8
1744,8
1760,8
1776,8
1792,8
1808,8
1824,8
1840,8
1856,8
1872,8
1888,8
1904,8
1920,8
1936,8
1952,8
1968,8
1984,8
2000,8
2016,8
2032,8
2048,8
2064,8
2080,8
2096,8
2112,8
2128,8
2144,8
2160,8
2176,8
2192,8
2208,8
2224,8
2240,8
2256,8
2272,8
2288,8
2304,8
2320,8
2336,8
2352,8
2368,8
2384,8
2400,8
2416,8
2432,8
2448,8
2464,8
2480,8
2496,8
2512,8
2528,8
2544,8
2560,8
2576,8
2592,8
2608,8
2624,8
2640,8
2656,8
2672,8
2688,8
2704,8
2720,8
2736,8
2752,8
2768,8
2784,8
2800,8
2816,8
2832,8
2848,8
2864,8
2880,8
2896,8
2912,8
2928,8
2944,8
2960,8
2976,8
2992,8
3008,8
3024,8
3088,8
3152,8
3216,8
3280,8
3344,8
3408,8
3472,8
3536,8
3600,8
3664,8
3728,8
3792,8
3856,8
3920,8
3984,8
4048,8
4112,8
4176,8
4240,8
4304,8
4368,8
4432,8
4496,8
4560,8
4624,8
4688,8
4752,8
4816,8
4880,8
4944,8
5008,8
5072,8
5136,8
5200,8
5264,8
5328,8
5392,8
5456,8
5520,8
5584,8
5648,8
5712,8
5776,8
5840,8
5904,8
5968,8
6032,8
6096,8
6160,8
6224,8
6288,8
6352,8
6416,8
6480,8
6544,8
6608,8
6672,8
6736,8
6800,8
6864,8
6928,8
6992,8
7056,8
7120,8
7184,8
7248,8
7312,8
7376,8
7440,8
7504,8
7568,8
7632,8
7696,8
7760,8
7824,8
7888,8
7952,8
8016,8
8080,8
