r,l,U,t
71,700,90,7
71,1212,52,7
71,1724,37,7
71,2236,29,7
71,2748,23,7
71,3260,20,7
71,3772,17,7
71,4284,15,7
71,4796,14,7
71,5308,12,7
71,5820,11,7
71,6332,10,7
71,6844,10,7
71,7356,9,7
71,7868,9,7
71,8380,8,7
71,8892,8,7
71,9404,7,7
71,9916,7,7
71,10428,7,7
71,10940,6,7
71,11452,6,7
71,11964,6,7
71,12476,6,7
71,13500,5,7
71,14524,5,7
71,15548,5,7
71,16572,4,7
71,17596,4,7
71,18620,4,8
71,19644,4,8
71,20668,4,8
71,21692,3,8
71,22716,3,8
71,23740,3,8
71,24764,3,8
71,25788,3,8
71,26812,3,8
71,27836,3,8
71,28860,3,8
71,29884,3,8
71,30908,3,8
71,31932,2,8
71,32956,2,8
71,33980,2,8
71,35004,2,8
71,36028,2,8
71,37052,2,8
71,38076,2,8
71,39100,2,8
71,40124,2,8
71,41148,2,8
71,42172,2,8
71,43196,2,8
71,44220,2,8
71,45244,2,8
71,46268,2,8
71,47292,2,8
71,48316,2,8
71,49340,2,8
71,50364,2,8
71,51388,2,8
71,52412,2,8
71,53436,2,8
71,54460,2,8
71,55484,2,8
71,56508,2,8
71,57532,2,8
71,58556,2,8
71,59580,2,8
71,60604,2,8
71,61628,2,8
71,62652,2,8
71,63676,1,8
71,64700,1,8
