r,l,U,t
1504,700,90,7
1504,1212,52,7
1504,1724,37,7
1504,2236,29,7
1504,2748,23,7
1504,3260,20,7
1504,3772,17,7
1504,4284,15,7
1504,4796,14,7
1504,5308,12,7
1504,5820,11,7
1504,6332,10,7
1504,6844,10,7
1504,7356,9,7
1504,7868,9,7
1504,8380,8,7
1504,8892,8,7
1504,9404,7,7
1504,9916,7,7
1504,10428,7,7
1504,10940,6,7
1504,11452,6,7
1504,11964,6,7
1504,12476,6,7
1504,13500,5,7
1504,14524,5,7
1504,15548,5,7
1504,16572,4,7
1504,17596,4,7
1504,18620,4,8
1504,19644,4,8
1504,20668,4,8
1504,21692,3,8
1504,22716,3,8
1504,23740,3,8
1504,24764,3,8
1504,25788,3,8
1504,26812,3,8
1504,27836,3,8
1504,28860,3,8
1504,29884,3,8
1504,30908,3,8
1504,31932,2,8
1504,32956,2,8
1504,33980,2,8
1504,35004,2,8
1504,36028,2,8
1504,37052,2,8
1504,38076,2,8
1504,39100,2,8
1504,40124,2,8
1504,41148,2,8
1504,42172,2,8
1504,43196,2,8
1504,44220,2,8
1504,45244,2,8
1504,46268,2,8
1504,47292,2,8
1504,48316,2,8
1504,49340,2,8
1504,50364,2,8
1504,51388,2,8
1504,52412,2,8
1504,53436,2,8
1504,54460,2,8
1504,55484,2,8
1504,56508,2,8
1504,57532,2,8
1504,58556,2,8
1504,59580,2,8
1504,60604,2,8
1504,61628,2,8
1504,62652,2,8
1504,63676,1,8
1504,64700,1,8
