r,t
16,6
32,6
48,6
64,6
80,6
96,6
112,5
128,5
144,5
160,5
176,5
192,5
208,5
224,5
240,5
256,5
272,5
288,5
304,5
320,5
336,5
352,5
368,5
384,5
400,5
416,5
432,5
448,5
464,5
480,5
496,5
512,5
528,5
544,5
560,5
576,5
592,5
608,5
624,5
640,5
656,5
672,5
688,5
704,5
720,5
736,5
752,5
768,5
784,5
800,5
816,5
832,5
848,5
864,5
880,5
896,5
912,5
928,5
944,5
960,5
976,5
992,5
1008,5
1024,5
1040,5
1056,5
1072,5
1088,5
1104,5
1120,5
1136,5
1152,5
1168,5
1184,5
1200,5
1216,5
1232,5
1248,5
1264,5
1280,5
1296,5
1312,5
1328,5
1344,5
1360,5
1376,5
1392,5
1408,5
1424,5
1440,5
1456,5
1472,5
1488,5
1504,5
1520,5
1536,5
1552,5
1568,5
1584,5
1600,5
1616,5
1632,5
1648,5
1664,5
1680,5
1696,5
1712,5
1728,5
1744,5
1760,5
1776,5
1792,5
1808,5
1824,5
1840,5
1856,5
1872,5
1888,5
1904,5
1920,5
1936,5
1952,5
1968,5
1984,5
2000,5
2016,5
2032,5
2048,5
2064,5
2080,5
2096,5
2112,5
2128,5
2144,5
2160,5
2176,5
2192,5
2208,5
2224,5
2240,5
2256,5
2272,5
2288,5
2304,5
2320,5
2336,5
2352,5
2368,5
2384,5
2400,5
2416,5
2432,5
2448,5
2464,5
2480,5
2496,5
2512,5
2528,5
2544,5
2560,5
2576,5
2592,5
2608,5
2624,5
2640,5
2656,5
2672,5
2688,5
2704,5
2720,5
2736,5
2752,5
2768,5
2784,5
2800,5
2816,5
2832,5
2848,5
2864,5
2880,5
2896,5
2912,5
2928,5
2944,5
2960,5
2976,5
2992,5
3008,5
3024,5
3088,5
3152,5
3216,5
3280,5
3344,5
3408,5
3472,5
3536,5
3600,5
3664,5
3728,5
3792,5
3856,5
3920,5
3984,5
4048,5
4112,5
4176,5
4240,5
4304,5
4368,5
4432,5
4496,5
4560,5
4624,5
4688,5
4752,5
4816,5
4880,5
4944,5
5008,5
5072,5
5136,5
5200,5
5264,5
5328,5
5392,5
5456,5
5520,5
5584,5
5648,5
5712,5
5776,5
5840,5
5904,5
5968,5
6032,5
6096,5
6160,5
6224,5
6288,5
6352,5
6416,5
6480,5
6544,5
6608,5
6672,5
6736,5
6800,5
6864,5
6928,5
6992,5
7056,5
7120,5
7184,5
7248,5
7312,5
7376,5
7440,5
7504,5
7568,5
7632,5
7696,5
7760,5
7824,5
7888,5
7952,5
8016,5
8080,5
