r, l, avgruntime
512, 128, 17.000000
512, 1024, 27.000000
512, 10000, 27.000000
512, 32768, 27.000000
512, 61440, 27.000000
1024, 128, 18.000000
1024, 1024, 26.000000
1024, 10000, 26.000000
1024, 32768, 25.000000
1024, 61440, 26.000000
2048, 128, 20.000000
2048, 1024, 27.000000
2048, 10000, 26.000000
2048, 32768, 27.000000
2048, 61440, 26.000000
4096, 128, 25.000000
4096, 1024, 27.000000
4096, 10000, 26.000000
4096, 32768, 27.000000
4096, 61440, 27.000000
8192, 128, 36.000000
8192, 1024, 32.000000
8192, 10000, 28.000000
8192, 32768, 30.000000
8192, 61440, 31.000000
